31-07-2016 12:52:13:387272 INFO:	SERVER:Staring the server 
31-07-2016 12:52:13:387431 INFO:	SERVER:Fetching data base path 
31-07-2016 12:52:13:387499 DEBUG:	SERVER:Database path found 
31-07-2016 12:52:13:387512 INFO:	SERVER:Client[ ] request for pulsar details 
31-07-2016 12:52:13:387849 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 12:52:13:387871 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 12:52:13:387897 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 12:52:13:391136 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 12:52:13:391227 INFO:	SERVER:Server exiting..... 
31-07-2016 05:25:45:238954 INFO:	SERVER:Staring the server 
31-07-2016 05:25:45:332958 INFO:	SERVER:Fetching data base path 
31-07-2016 05:25:45:344698 DEBUG:	SERVER:Database path found 
31-07-2016 05:25:45:344771 INFO:	SERVER:Client[ ] request for pulsar details 
31-07-2016 05:25:45:353313 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 05:25:45:353424 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 05:25:45:353491 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 05:25:45:353602 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 05:25:45:353630 INFO:	SERVER:Server exiting..... 
31-07-2016 05:58:19:930854 INFO:	SERVER:Staring the server 
31-07-2016 05:58:20:196776 INFO:	SERVER:Fetching data base path 
31-07-2016 05:58:20:233762 DEBUG:	SERVER:Database path found 
31-07-2016 05:58:20:233880 INFO:	SERVER:Client[ ] request for detailspulsar 
31-07-2016 05:58:20:267302 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 05:58:20:267400 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 05:58:20:267462 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 05:58:20:267619 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 05:58:20:267664 INFO:	SERVER:Server exiting..... 
31-07-2016 06:12:59:951741 INFO:	SERVER:Staring the server 
31-07-2016 06:12:59:951959 INFO:	SERVER:Fetching data base path 
31-07-2016 06:12:59:966568 DEBUG:	SERVER:Database path found 
31-07-2016 06:12:59:966703 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:12:59:983695 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:12:59:983770 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:12:59:983811 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:12:59:991318 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:12:59:991408 INFO:	SERVER:Server exiting..... 
31-07-2016 06:14:39:242911 INFO:	SERVER:Staring the server 
31-07-2016 06:14:39:243001 INFO:	SERVER:Fetching data base path 
31-07-2016 06:15:58:97513 INFO:	SERVER:Staring the server 
31-07-2016 06:15:58:97603 INFO:	SERVER:Fetching data base path 
31-07-2016 06:18:28:553829 INFO:	SERVER:Staring the server 
31-07-2016 06:18:28:553913 INFO:	SERVER:Fetching data base path 
31-07-2016 06:20:59:345711 INFO:	SERVER:Staring the server 
31-07-2016 06:20:59:345793 INFO:	SERVER:Fetching data base path 
31-07-2016 06:21:18:425414 DEBUG:	SERVER:Database path found 
31-07-2016 06:21:28:949952 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:22:30:791885 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:22:31:905202 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:22:31:923991 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:22:34:647378 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:22:34:647631 INFO:	SERVER:Server exiting..... 
31-07-2016 06:29:57:751137 INFO:	SERVER:Staring the server 
31-07-2016 06:29:57:751299 INFO:	SERVER:Fetching data base path 
31-07-2016 06:29:57:805360 DEBUG:	SERVER:Database path found 
31-07-2016 06:29:57:805433 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:29:57:822332 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:29:57:822403 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:29:57:822430 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:29:57:822469 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:29:57:822479 INFO:	SERVER:Server exiting..... 
31-07-2016 06:31:57:121263 INFO:	SERVER:Staring the server 
31-07-2016 06:31:57:121772 INFO:	SERVER:Fetching data base path 
31-07-2016 06:35:19:951081 INFO:	SERVER:Staring the server 
31-07-2016 06:35:19:951241 INFO:	SERVER:Fetching data base path 
31-07-2016 06:35:19:951571 DEBUG:	SERVER:Database path found 
31-07-2016 06:35:19:951627 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:35:19:951802 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:35:19:952076 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:35:19:952114 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:35:19:957700 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:35:19:958357 INFO:	SERVER:Server exiting..... 
31-07-2016 06:37:05:952263 INFO:	SERVER:Staring the server 
31-07-2016 06:37:05:952614 INFO:	SERVER:Fetching data base path 
31-07-2016 06:37:05:952765 DEBUG:	SERVER:Database path found 
31-07-2016 06:37:05:952814 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:37:05:954679 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:37:05:954790 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:37:05:954852 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:37:05:958759 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:37:05:958852 INFO:	SERVER:Server exiting..... 
31-07-2016 06:40:38:711461 INFO:	SERVER:Staring the server 
31-07-2016 06:40:38:711735 INFO:	SERVER:Fetching data base path 
31-07-2016 06:40:38:714100 DEBUG:	SERVER:Database path found 
31-07-2016 06:40:38:714212 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:40:38:715234 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:40:38:715349 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:40:38:715422 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:40:38:719177 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:40:38:719984 INFO:	SERVER:Server exiting..... 
31-07-2016 06:42:17:742796 INFO:	SERVER:Staring the server 
31-07-2016 06:42:17:742938 INFO:	SERVER:Fetching data base path 
31-07-2016 06:42:17:743042 DEBUG:	SERVER:Database path found 
31-07-2016 06:42:17:743079 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:42:17:743420 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:42:17:743447 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:42:17:743480 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:42:17:744717 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:42:17:744758 INFO:	SERVER:Server exiting..... 
31-07-2016 06:42:49:279314 INFO:	SERVER:Staring the server 
31-07-2016 06:42:49:279399 INFO:	SERVER:Fetching data base path 
31-07-2016 06:45:28:653619 INFO:	SERVER:Staring the server 
31-07-2016 06:45:28:653735 INFO:	SERVER:Fetching data base path 
31-07-2016 06:45:28:653787 DEBUG:	SERVER:Database path found 
31-07-2016 06:45:28:653803 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 06:45:28:653875 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 06:45:28:653885 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 06:45:28:653901 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 06:45:28:653926 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 06:45:28:653934 INFO:	SERVER:Server exiting..... 
31-07-2016 06:45:57:192831 INFO:	SERVER:Staring the server 
